Id,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,StatusId
10248,VINET,5,2018-02-04,2018-03-01,2018-02-16,3,17,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,0
10249,TOMSP,6,2018-02-05,2018-03-16,2018-02-10,1,22,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany,1
10250,HANAR,4,2018-02-08,2018-03-05,2018-02-12,2,25,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,3
10251,VICTE,3,2018-02-08,2018-03-05,2018-02-15,1,20,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,2
10252,SUPRD,4,2018-02-09,2018-03-06,2018-02-11,2,36,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,0
10253,HANAR,3,2018-02-10,2018-02-24,2018-02-16,2,36,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,2
10254,CHOPS,5,2018-02-11,2018-03-08,2018-02-23,2,24,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,0
10255,RICSU,9,2018-02-12,2018-03-09,2018-02-15,3,38,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland,2
10256,WELLI,3,2018-02-15,2018-03-12,2018-02-17,2,17,Wellington Importadora,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil,0
10257,HILAA,4,2018-02-16,2018-03-13,2018-02-22,3,22,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela,3
10258,ERNSH,1,2018-02-17,2018-03-14,2018-02-23,1,40,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,3
10259,CENTC,4,2018-02-18,2018-03-15,2018-02-25,3,13,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Central America,05022,Mexico,1
10260,OTTIK,4,2018-02-19,2018-03-16,2018-02-28,1,36,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,2
10261,QUEDE,4,2018-02-19,2018-03-16,2018-02-28,2,20,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,0
10262,RATTC,8,2018-02-22,2018-03-19,2018-02-25,3,17,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,3
10263,ERNSH,9,2018-02-23,2018-03-20,2018-02-28,3,56,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,3
10264,FOLKO,6,2018-02-24,2018-03-21,2018-03-23,3,25,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,1
10265,BLONP,2,2018-02-25,2018-03-22,2018-03-12,1,23,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,1
10266,WARTH,3,2018-02-26,2018-04-06,2018-02-28,3,13,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,3
10267,FRANK,4,2018-02-28,2018-03-26,2018-03-06,1,44,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,0
10268,GROSR,8,2018-02-28,2018-03-27,2018-03-02,3,14,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela,0
10269,WHITC,5,2018-02-28,2018-03-14,2018-03-09,1,30,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,3
10270,WARTH,1,2018-03-01,2018-03-29,2018-03-02,1,24,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,0
10271,SPLIR,6,2018-03-01,2018-03-29,2018-03-30,2,16,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,2
10272,RATTC,6,2018-03-02,2018-03-30,2018-03-06,2,28,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,1
10273,QUICK,3,2018-03-05,2018-04-02,2018-03-12,3,48,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,2
10274,VINET,6,2018-03-06,2018-04-03,2018-03-16,1,17,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,3
10275,MAGAA,1,2018-03-07,2018-04-04,2018-03-09,1,15,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,3
10276,TORTU,8,2018-03-08,2018-03-22,2018-03-14,3,16,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,3
10277,MORGK,2,2018-03-09,2018-04-06,2018-03-13,3,18,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany,3
10278,BERGS,8,2018-03-12,2018-04-09,2018-03-16,2,26,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,0
10279,LEHMS,8,2018-03-13,2018-04-10,2018-03-16,2,14,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,3
10280,BERGS,2,2018-03-14,2018-04-11,2018-04-12,1,26,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,3
10281,ROMEY,4,2018-03-14,2018-03-28,2018-03-21,1,13,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,0
10282,ROMEY,4,2018-03-15,2018-04-12,2018-03-21,1,12,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,2
10283,LILAS,3,2018-03-16,2018-04-13,2018-03-23,3,29,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,0
10284,LEHMS,4,2018-03-19,2018-04-16,2018-03-27,1,25,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,0
10285,QUICK,1,2018-03-20,2018-04-17,2018-03-26,2,40,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,3
10286,QUICK,8,2018-03-21,2018-04-18,2018-03-30,3,45,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,2
10287,RICAR,8,2018-03-22,2018-04-19,2018-03-28,3,29,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,0
10288,REGGC,4,2018-03-23,2018-04-20,2018-04-03,1,13,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy,1
10289,BSBEV,7,2018-03-26,2018-04-23,2018-03-28,3,20,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK,2
10290,COMMI,8,2018-03-27,2018-04-24,2018-04-03,1,25,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil,0
