days,CategoryName,total_sales
2018-02-04,Dairy Products,343.0
2018-02-04,Grains/Cereals,100.0
2018-02-05,Produce,1851.0
2018-02-08,Condiments,556.75
2018-02-08,Grains/Cereals,324.9
2018-02-08,Produce,1249.5
2018-02-08,Seafood,80.0
2018-02-09,Confections,2470.0
2018-02-09,Dairy Products,1127.5
2018-02-10,Beverages,71242.0
2018-02-10,Condiments,32399.0
2018-02-10,Confections,30597.0
2018-02-10,Dairy Products,35012.0
2018-02-10,Grains/Cereals,23820.0
2018-02-10,Meat/Poultry,40976.0
2018-02-10,Produce,16130.0
2018-02-10,Seafood,19205.0
2018-02-11,Beverages,85152.0
2018-02-11,Condiments,67195.0
2018-02-11,Confections,61849.0
2018-02-11,Dairy Products,62956.0
2018-02-11,Grains/Cereals,32283.0
2018-02-11,Meat/Poultry,49748.15
2018-02-11,Produce,32285.0
2018-02-11,Seafood,50439.0
2018-02-12,Beverages,55987.0
2018-02-12,Condiments,38203.0
2018-02-12,Confections,52465.0
2018-02-12,Dairy Products,44860.0
2018-02-12,Grains/Cereals,20686.0
2018-02-12,Meat/Poultry,41532.0
2018-02-12,Produce,28384.0
2018-02-12,Seafood,36364.0
2018-02-13,Beverages,23279.0
2018-02-13,Condiments,16258.0
2018-02-13,Confections,18766.0
2018-02-13,Dairy Products,17377.0
2018-02-13,Grains/Cereals,4367.0
2018-02-13,Meat/Poultry,20430.0
2018-02-13,Produce,7614.0
2018-02-13,Seafood,12836.0
2018-02-14,Beverages,72296.0
2018-02-14,Condiments,47792.0
2018-02-14,Confections,65756.0
2018-02-14,Dairy Products,49239.0
2018-02-14,Grains/Cereals,25676.0
2018-02-14,Meat/Poultry,46429.0
2018-02-14,Produce,23417.0
2018-02-14,Seafood,43464.0
2018-02-15,Beverages,86082.0
2018-02-15,Condiments,54195.0
2018-02-15,Confections,60998.0
2018-02-15,Dairy Products,68162.0
2018-02-15,Grains/Cereals,26392.0
2018-02-15,Meat/Poultry,73119.0
2018-02-15,Produce,47969.0
2018-02-15,Seafood,53209.0
2018-02-16,Beverages,138466.0
2018-02-16,Condiments,79014.0
2018-02-16,Confections,97811.0
2018-02-16,Dairy Products,86889.0
2018-02-16,Grains/Cereals,48429.0
2018-02-16,Meat/Poultry,98538.0
2018-02-16,Produce,42087.0
2018-02-16,Seafood,78416.0
2018-02-17,Beverages,134993.0
2018-02-17,Condiments,92664.0
2018-02-17,Confections,98999.0
2018-02-17,Dairy Products,87761.8
2018-02-17,Grains/Cereals,32112.0
2018-02-17,Meat/Poultry,92659.0
2018-02-17,Produce,49186.0
2018-02-17,Seafood,67317.0
2018-02-18,Beverages,70521.0
2018-02-18,Condiments,46125.0
